# 句子练习例句。一行一句： 单词 | 英文句子 | 中文（可空，留空就写 -）
# 这是 _build_sents.py pick 生成的初稿，改完跑 inject。
# 挖空是 inject 时按「单词」那一列自动做的，别在句子里自己写 ___。
mall | At the car wash next to the shopping mall. | -
management | A successful business is built on careful financial management. | -
maneuver | Birds change the shape of their wings to turn and maneuver. | -
manifest | He doesn't manifest much desire to win the game. | -
manipulate | Tom is just trying to manipulate you. | -
mansion | Sami had a small movie theater in his mansion. | -
manual | Mechanical power took the place of manual labor. | -
manufacture | The date of manufacture is shown on the lid. | -
manufacturer | Only use attachments or accessories specified by the manufacturer. | -
manuscript | I have been writing this manuscript for a year. | -
marble | They are chiseling a statue out of marble. | -
margin | We left a margin for error in our estimates. | -
marginal | There is only a marginal difference between the two. | -
marsh | Lots of herons live in the marsh. | -
marshal | I will marshal a fair amount of scientific data to support my argument. | -
masculine | What examples of behaviour would you consider typically masculine? | -
mask | A friend of mine made it with a mask. | -
mass | The mass of men lead lives of quiet desperation. | -
massacre | The general ordered the massacre of all war prisoners. | -
massive | There was a massive search to find any survivors. | -
masterpiece | The millionaire intended to purchase the masterpiece regardless of cost. | -
mature | It takes two years for the butterfly to mature. | -
maximum | The bus can carry a maximum of forty people. | -
meadow | Your sentences were like a green meadow in winter. | -
mechanical | I want my son to become a mechanical engineer. | -
mediate | Interpreters mediate between different cultures. | -
medieval | I was deeply impressed with the medieval music. | -
medium | Television is a very important medium for giving information. | -
melody | The song had a melody that went like this. | -
melt | The snow will melt when the sun comes out. | -
memorize | It took me two hours to memorize this sentence. | -
menace | This kind of bomb is a serious menace to mankind. | -
mental | The people of your country have no mental discipline. | -
mercury | A significant quantity of mercury was found in the mackerel. | -
mere | The mere sight of a snake makes her sick. | -
merely | I merely came to inform you of the fact. | -
merge | He was given a tip three weeks ago that two companies would merge. | -
merit | Charms strike the sight, but merit wins the soul. | -
messenger | A messenger reports that the enemy is approaching. | -
metallic | Layla could smell that metallic iron smell of blood. | -
metropolitan | He centered his business on the metropolitan area. | -
midst | He fainted in the midst of his speech. | -
migrant | There are many migrant farm-worker children at our school. | -
migrate | Some birds migrate to warmer regions in the winter. | -
mild | Fadil seemed to be a very mild-mannered man. | -
militant | The man was said to be part of a rogue militant group. | -
military | There seem to be dangerous developments in the military. | -
millionaire | Everyone who worked on that project became a millionaire. | -
mingle | He doesn't mingle with the villagers. | -
miniature | He stared at the faithful miniature of the dinosaur. | -
minimal | I think that the economic impact will be minimal. | -
minimize | I want to minimize the chances of another accident. | -
minimum | We have to reduce the cost to a minimum. | -
minority | The chairman should take the minority opinion into account. | -
misery | The accompaniments of the war are misery and sorrow. | -
misfortune | The misfortune of the ants makes the elephants laugh. | -
mission | Tom traveled back in time to perform a mission. | -
missionary | The missionary was eaten by cannibals. | -
mistress | He met his mistress during a country escapade. | -
moan | The pain is always milder than the moan. | -
mob | The angry mob overturned cars and smashed storefront windows. | -
mobile | I always said that your mobile never worked well. | -
mobilize | Sami was working non-stop to mobilize a search team. | -
mock | The future pilot is trained in a mock cockpit. | -
modest | They would think the person is modest or lazy. | -
modify | We want to modify the regulations of our school. | -
module | The module has only countably many direct summands up to isomorphism. | -
molecule | Each molecule in our body has a unique shape. | -
momentum | As the days passed, our campaign grew in momentum. | -
monetary | Interest rates will rise due to monetary tightening. | -
monitor | A satellite was launched into orbit to monitor melting glaciers. | -
monopoly | Our store has a monopoly on this item. | -
monster | A monster was believed to live in the cave. | -
moral | Mary renounced her moral values and became a nihilist. | -
morality | Governments should not be in the business of legislating morality. | -
moreover | The bag was big, and moreover, it was heavy. | -
mortal | The body is mortal, but the soul is immortal. | -
mortgage | The bank holds a mortgage on his building. | -
motel | I checked into a motel and went right to sleep. | -
motivate | I go to the store to motivate my mom. | -
motive | Now we are better able to understand their motive. | -
mourn | Blessed are those who mourn, for they will be comforted. | -
muddy | That path is apt to be muddy after rain. | -
multiple | One sentence may have multiple meanings in one language. | -
multiply | This new investment will multiply our profit. | -
multitude | They are faced with a multitude of stresses. | -
municipal | The municipal council all but ignored the gravity of the pollution. | -
murmur | There was a murmur when she entered the room. | -
muscular | My muscular strength has weakened from lack of exercise. | -
mute | Deaf-mute people can use sign language to communicate. | -
mutual | To maintain a friendship, there must be mutual affection. | -
myth | What he had said proved to be a myth. | -
naive | The naive man was utterly embarrassed in her presence. | -
napkin | Tom was arrested for stealing a napkin at a restaurant. | -
narrative | It was his narrative that bored me to death. | -
nasty | He gave me a nasty punch to the face. | -
navigation | Due to limited visibility, navigation may be difficult. | -
necessitate | School closures due to inclement weather will necessitate extending the school year by three days. | -
negative | Divorce tends to be associated with a negative image. | -
neglect | It is silly of you to neglect your studies. | -
negligible | The damage from the flood was negligible. | -
negotiate | They wanted to negotiate the contract on equal terms. | -
neutral | A neutral work is the work of a coward. | -
nickel | I found a nickel in between the couch cushions. | -
nickname | My real name has nothing to do with my nickname. | -
nominal | Price increases explain the difference between the real and nominal growth rates. | -
nominate | Nominate now the champion of gender-balanced business. | -
nonetheless | You may not believe it, but it is nonetheless true. | -
norm | Cloning of supermen in the military became the norm. | -
notable | The area is notable for its scenery and wildlife. | -
notify | Tom is going to notify us if that happens. | -
notion | He has a notion that life is a voyage. | -
notorious | Sharks are notorious for having a thirst for blood. | -
notwithstanding | She accepted our offer notwithstanding. | -
nourish | The mother used her own milk to nourish the baby. | -
novelty | Some people prefer conformity, while others seek novelty. | -
numerical | Pantone classifies thousands of colors with unique numerical identifiers. | -
numerous | There are numerous hypotheses that may explain this phenomenon. | -
nurture | Deep inside your heart, nurture benevolence for everything that exists! | -
nutrition | Information about nutrition is available on most packaged foods. | -
oak | The lovers engraved the oak tree with their initials. | -
oath | I remind you that you are still under oath. | -
obedient | The boy is obedient to his parents. | -
object | The surface of the peculiar object is fairly rough. | -
objection | He brought forward a strong objection to my proposal. | -
objective | You seem to have lost sight of original objective. | -
obligation | Every player is under obligation to keep the rules. | -
obscene | His obscene remarks will be expunged from the record. | -
obscure | The cause of the accident is still obscure. | -
obstacle | She has the wonderful capability to overcome any obstacle. | -
obtain | The women led the movement to obtain female suffrage. | -
occasional | He doesn't travel much apart from occasional business trips. | -
occupation | He is engaged in an occupation of his own choice. | -
occupy | Sami was trying to occupy himself on his phone. | -
occur | There is no telling when an earthquake will occur. | -
odor | The odor of dirty socks makes me gag. | -
offense | Such a deed is an offense against the law. | -
offensive | They went on the offensive in the first half. | -
offset | The conservative character of the seating furniture is offset by the brightly coloured accessories. | -
offspring | These legends should be handed down to our offspring. | -
olive | Better to extend an olive branch than launch a missile. | -
opaque | You don't know what that small opaque bottle contains. | -
opponent | He does not let the opponent come near him. | -
oppose | It is courageous of him to oppose his boss. | -
oppress | You cannot oppress the people who are not afraid anymore. | -
optical | My laptop doesn't have an optical disk drive. | -
optimism | There is considerable optimism that the economy will improve. | -
optimistic | I must admit that things are looking quite optimistic. | -
optimum | Finding the optimum for a numerical function can be an important challenge. | -
option | Elliptical bicycles are a good option for exercising indoors. | -
orbit | The spaceship is out of orbit around the moon. | -
orchestra | The conductor of this orchestra is a fine musician. | -
ore | Treat the men well and the ore will come. | -
orient | He was interested in the mysteries of the Orient. | -
oriental | They said that he was a talkative, noisy Oriental. | -
orientation | Children are quick to gain orientation to new circumstances. | -
origin | There are many theories about the origin of life. | -
original | The movie is not so interesting as the original. | -
originate | I must know where these quotations originate. | -
ornament | Friends who pay a visit are an ornament to the home. | -
orthodox | Outside the mainstream of orthodox Judaism, apocalypticism was more successful with certain movements. | -
outbreak | The viral outbreak occurred in the northern sector. | -
outfit | That outfit is running a fly-by-night operation. | -
outline | He gave me a brief outline of the plan. | -
output | Last year's output of coal fell short of the standard. | -
outrage | What he did was an outrage. | -
outset | The meeting was held as intended at the outset. | -
outward | One cannot judge people only by their outward appearances. | -
overcome | I must pull myself together to overcome this incident. | -
overflow | Out of the overflow of the heart, the mouth speaks. | -
overhead | A bird in hand is safer than one overhead. | -
overhear | Tom kept his voice low so nobody could overhear. | -
overlap | When inserting the budwood into the root stock, make the cambium layers overlap. | -
overlook | You may as well overlook his sins and forgive him. | -
overpass | He was thrown off the overpass onto the road below. | -
overt | Racism today isn't so overt. | -
overthrow | They conspire to overthrow the oppressive government. | -
overturn | Sami launched a campaign to overturn his conviction. | -
overwhelm | I didn't mean to overwhelm you. | -
overwhelming | The bill was passed by an overwhelming majority. | -
owe | You owe it to yourself to take a vacation. | -
owl | An owl sleeps by day and hunts by night. | -
oxide | Nitrous oxide stopped being used as an anaesthetic a long time ago. | -
oxygen | The air we breathe consists of oxygen and nitrogen. | -
ozone | Without the ozone layer, we would be in danger. | -
package | Tom wrapped the package and tied it with strings. | -
pact | We made a pact that we wouldn't abandon one another. | -
pamphlet | Please look at the pamphlet for the details. | -
panic | The panic spread through the district in an instant. | -
paperback | Unsold paperback books often have their covers torn off. | -
paradise | Now we are afraid of the paradise we created. | -
paradox | The paradox of sport is that it bonds as it divides. | -
paragraph | Memorize this paragraph until you can say it fluently. | -
parallel | Art is a harmony that runs parallel to nature. | -
paralyze | A vampire can paralyze people just by looking at them. | -
parameter | Check the parameter list. | -
parasite | Tom ate a salad contaminated with the cyclospora parasite. | -
partial | That teacher tends to be partial to female students. | -
participant | He was a neutral participant at the discussion. | -
partition | This partition separates the two rooms. | -
passion | To share one's passion is to live it fully. | -
passive | Observation is a passive science, experimentation an active science. | -
pastime | My favorite pastime is strolling along the shore. | -
pastry | The prices in this pastry shop are very high. | -
pasture | There are a lot of sheep in the pasture. | -
patent | A patent right is an important property right. | -
pathetic | The education in that institute is simply pathetic. | -
patriot | He was a true patriot and an able diplomat. | -
patriotic | Americans descend from immigrants, and they are very patriotic. | -
patrol | The patrol cars cover the whole of the area. | -
patron | He's been a patron of this store for many years. | -
pattern | The colors of the pattern are very ordinary. | -
peak | The morning rush is at its peak now. | -
pearl | The jeweler mounted a big pearl in the brooch. | -
peculiar | There seems to be something peculiar about the boy. | -
pedal | I got a new foot pedal for my guitar. | -
pedestrian | This cross street is busy with pedestrian traffic. | -
peel | The paper was beginning to peel off the walls. | -
peg | It is difficult to peg the direction of interest deregulation. | -
penalty | The death penalty was done away with last year. | -
pendulum | He reached into the case and stopped the pendulum. | -
penguin | A penguin is a bird that cannot fly. | -
peninsula | A humid climate is characteristic of the peninsula. | -
perception | The simple perception of natural forms is a delight. | -
perfection | Actually his work has reached the acme of perfection. | -
performance | The audience was carried away by his touching performance. | -
perfume | The room was pervaded with the scent of perfume. | -
periodic | He learnt the periodic table by heart just for fun. | -
periodical | The periodical costs less than the book. | -
perish | Without lies truth would perish of despair and boredom. | -
permanent | I hope their relationship will blossom into something permanent. | -
permeate | The world of dreams is a set of stages where virtual realities permeate one another. | -
permissible | Is it ever morally permissible to lie? | -
perpetual | Tom thinks he has invented a perpetual motion machine. | -
persist | The anthropologist says odd customs do persist in the region. | -
persistent | Mary was subjected to persistent bullying and harassment at work. | -
perspective | The picture looks strange because it has no perspective. | -
persuasion | Crude persuasion is to persistently egg someone on. | -
pessimistic | He is extremely pessimistic and has no aspirations. | -
pest | This farmer relies on beneficial insects for pest control. | -
petition | I addressed a petition to the mayor. | -
petty | We shouldn't be imprisoning people for such petty crimes. | -
phase | We are entering a new phase in the war. | -
phenomenon | There are numerous hypotheses that may explain this phenomenon. | -
pirate | The pirate was observing the sea with his monocular. | -
pistol | Never trust a woman with a pistol in hand. | -
pitch | This is a good place to pitch a tent. | -
plague | More often than not, famine is accompanied by plague. | -
planet | Neptune is the eighth planet of the solar system. | -
plaster | He saw a small plaster on her left knee. | -
plateau | It's pleasant to take a walk on the plateau. | -
plausible | This thing seems very plausible to me. | -
plea | Sami took a plea deal to have charges reduced. | -
plead | I plead you to tell me the truth. | -
pledge | Unity, justice and freedom are the pledge of fortune. | -
plunge | She tends to plunge into new challenges head first. | -
poetry | Learning poetry is a good discipline for the memory. | -
poisonous | People used to think that the tomato was poisonous. | -
poke | I bought a pig in a poke yesterday. | -
polar | By night, polar bears use stars as their compass. | -
pole | Scott was the first man to reach the pole. | -
polish | He only likes Polish girls with blue-green eyes. | -
ponder | Let's ponder that for a moment. | -
pope | Tom asked for a private audience with the Pope. | -
porch | They waited on the porch until it stopped raining. | -
pore | A possible explanation would be the formation of pore-like structures. | -
portray | In this film they both portray notorious gang leaders. | -
pose | When you pose a question, you expect an answer. | -
positive | She shows a very positive attitude to her work. | -
possess | Happiness does not consist of how much you possess. | -
posture | Proper posture is necessary to maintain good health. | -
potential | I discerned the potential of great things in him. | -
poverty | The whole nation is waging a war against poverty. | -
practicable | The new plan was accounted practicable. | -
preach | They do not preach by name or designation. | -
precede | In Asia men usually precede women when walking. | -
precedent | There is no precedent for such a case. | -
precious | There is no treasure more precious than a child. | -
precise | He gave me precise instructions to do the job. | -
predecessor | We like the present headmaster better than his predecessor. | -
predict | It is not always best to predict the future. | -
preferable | Bad news is preferable to an absence of information. | -
preference | Have you got any preference between beef and lamb? | -
prejudice | Ignorance is the source of many forms of prejudice. | -
preliminary | Before we begin, a number of preliminary remarks are in order. | -
premature | It is premature to put the plan into practice now. | -
premier | The Premier subscribed his name to the charter. | -
premise | I don't agree with the premise of your argument. | -
premium | I got a premium for subscribing to the magazine. | -
prescription | Let me write you a prescription for some medicine. | -
presentation | Tom was asked to prepare a ten-minute presentation. | -
preserve | Doctors and nurses must preserve life at all costs. | -
preside | Tom offered to preside at the meeting. | -
pressure | Blood pressure is important as a barometer of health. | -
prestige | The problem affects the prestige of our school. | -
presumably | Tom will buy a new pair of glasses, presumably. | -
presume | I presume that he has paid the money back. | -
pretext | He did not come on the pretext of sickness. | -
prevail | We must prevail against our rivals by all means. | -
prevalent | Plastic is the most prevalent type of marine debris. | -
preview | There was a special sneak preview last night. | -
previous | I had lost a camera in the previous day. | -
prey | Some large birds prey upon small birds and animals. | -
priest | The priest blessed the marriage of the happy couple. | -
primarily | This dictionary is primarily intended for high school students. | -
primary | Electronic news media is our primary source of information. | -
prime | The prime minister appoints the members of his cabinet. | -
primitive | His wooden instruments were primitive even for his time. | -
principal | The students gathered at the call of the principal. | -
principle | Esperanto speakers are in principle still at least bilingual. | -
priority | Her conditions for choosing a marriage partner took priority. | -
privacy | Please take a moment to read our privacy policy. | -
privilege | We give foreign tourists the privilege of tax exemption. | -
probability | In all probability, the money will not be paid. | -
probe | Investigators are running a probe into what caused the crash. | -
procedure | Endoscopy is a medical procedure that uses an endoscope. | -
proceedings | One of the visitors cried out to obstruct the proceedings. | -
process | The advancement of modern medicine was a long process. | -
proclaim | His manners proclaim him a gentleman. | -
productive | All-nighters are never as productive as they seem. | -
productivity | The president instructed the employees to improve their productivity. | -
profess | Fadil wrote Layla a poem to profess his love. | -
profession | The medical profession keeps handing out warnings about smoking. | -
professional | His karaoke voice would put a professional to shame. | -
proficiency | He has increased his proficiency in English greatly. | -
profitable | Money lending is a profitable business in this country. | -
profound | The tone of dogmatism is inspired by profound ignorance. | -
progressive | The grammatical form employed here is the present progressive. | -
prohibit | Shame can limit what the law does not prohibit. | -
project | We insist that this project be carried out immediately. | -
prolong | Gooseberries can prolong your life. | -
prominent | The tower occupied a prominent spot on the ridge. | -
promising | Let me introduce a promising young writer to you. | -
promote | The government has taken measures to promote domestic industry. | -
prone | People who are prone to aggression can be dangerous. | -
proof | The proof is trivial and left to the reader. | -
propaganda | Tom realized that almost all information is opinioned or propaganda. | -
propagate | Humans are the vehicles that genes use to propagate themselves. | -
property | National honor is national property of the highest value. | -
prophet | No man is a prophet in his own land. | -
proposition | My friend came to me with a business proposition. | -
prose | The prose of everyday life can be very sobering. | -
prosecute | There are lots of signs warning that they prosecute shoplifters. | -
prospect | I am excited at the prospect of seeing her. | -
prospective | The company invited their prospective customers to the party. | -
prosperous | It is my burning ambition to make you prosperous. | -
protein | Tom is on a low-fat, high-protein diet. | -
protest | Ever louder voices of protest drowned out his speech. | -
prototype | This design is too inefficient to prototype. | -
provided | We provided the flood victims with food and clothing. | -
provision | There was a provision in his will for his mistress. | -
provocative | After seeing her provocative body, he became obsessed with her. | -
provoke | A facet of genius is the ability to provoke scandals. | -
proximity | The big change is the proximity to death. | -
prune | Your vagina is not going to shrivel up like a prune. | -
psychiatrist | Tom sees a psychiatrist once or twice a month. | -
psychological | This psychological study investigates the cognitive factors of memory. | -
pudding | I had some custard pudding for an afternoon snack. | -
pumpkin | The little bumpkin bought a big pumpkin. | -
purchase | I had to borrow money to purchase the car. | -
purify | Iodine is used to purify water. | -
purity | The whiteness of the lily is a symbol of purity. | -
pursue | I plan to pursue a career in international finance. | -
pursuit | He was interested in only the pursuit of wealth. | -
quantify | Can you quantify happiness? | -
quantitative | Quantitative clinical data follow a wide range of distributions. | -
quart | Two pints are equal to a quart. | -
quarterly | This magazine is published bimonthly, and that one is published quarterly. | -
quartz | Tom believes that these quartz crystals have healing powers. | -
queer | He had a queer expression on his face. | -
quench | I had a glass of beer to quench my thirst. | -
quest | They explored the desert in quest of buried treasure. | -
questionnaire | Please fill out this questionnaire and send it to us. | -
quiver | In mathematics, a quiver is a directed graph. | -
quota | We almost broke our necks trying to meet the quota. | -
racial | We shall continue our efforts to eradicate racial discrimination. | -
racket | My washing machine makes one hell of a racket. | -
radiant | Her face was radiant with happiness. | -
radiate | Your red cheeks radiate innocence. | -
radical | The government watched the activities of radical groups carefully. | -
radioactive | Bananas are slightly radioactive due to their potassium content. | -
radius | Find the radius of the excircle of the triangle. | -
random | The subjects for the experiment were chosen at random. | -
rank | Taxis stood in a rank in front of the station. | -
rap | He gave a rap on the door. | -
rape | Sami has worked with a lot of rape victims. | -
rarely | English people rarely talk to strangers in the train. | -
rash | I found a very good drug for nettle rash. | -
rating | The thought of rating people by attractiveness does not seem fair to me. | -
rational | It seemed like the only rational thing to do. | -
reaction | Observe his facial reaction when we mention a price. | -
readily | The noted diplomat readily participated in the committee. | -
realistic | A long discussion boiled down to a realistic conclusion. | -
reap | We will reap rich rewards later on in life. | -
reassure | Tom tried to reassure his wife. | -
rebel | The rebel was ultimately captured and confined to jail. | -
rebellion | The speaker tried to incite the people to rebellion. | -
recall | I recall less and less of my childhood. | -
recede | My memory of her has begun to recede. | -
receipt | This is just to confirm receipt of your letter. | -
reception | He introduced me to his relatives at the reception. | -
recession | The recession has put the crunch on wage laborers. | -
recipe | The ingredients for this recipe are a little expensive. | -
recipient | I was the recipient of a large settlement. | -
reciprocal | The reciprocal of one-half is two. | -
recite | Tomorrow, we are to recite a poem at school. | -
reckless | The knight is not so much brave as reckless. | -
reckon | How much do you reckon this carriage would cost? | -
reclaim | Some day man will reclaim the desert for agriculture. | -
recognition | I was surprised at her immediate recognition of me. | -
recognize | I recognize that what he says is the truth. | -
reconcile | I asked him to reconcile them with each other. | -
reconciliation | Any attempt at reconciliation was nipped in the bud. | -
recover | Tom may never recover the use of his legs. | -
recovery | I succeeded in the recovery of the stolen wallet. | -
recreation | Skiing is a good form of recreation. | -
recruit | The papers found lots of monkey business when they investigated the Recruit scandal. | -
rectangular | A polar bear is a rectangular bear after a coordinate transform. | -
rectify | Sami had enough time to rectify things. | -
recur | Next year we'll recur to this issue. | -
recycle | There is a big movement today to recycle trash. | -
redundant | Soldiers currently in theatre will not be made redundant. | -
reel | The jig, reel and hornpipe are the most popular Irish dances. | -
referee | The captain appealed to the referee against the decision. | -
reference | This reference book is of benefit to you all. | -
reflect | I need a little time to reflect upon it. | -
reform | The tax reform will not touch the banking industry. | -
refrain | The soldier really could not refrain from kissing her. | -
refresh | She looked at the picture to refresh her memory. | -
refreshment | Can I offer you some refreshment? | -
refuge | Idleness is only the refuge of weak minds. | -
refund | For a refund, you must return the item unopened. | -
refusal | My refusal to explain exempts me from the poll. | -
refute | I don't want to refute this outworn idea. | -
regime | All political dissidents were purged under the former regime. | -
region | There were storms in that region of the country. | -
register | Tom was caught stealing money from the cash register. | -
regulation | The regulation was abolished, but then it was reenacted. | -
rehearsal | We act in our lives without rehearsal and prompter. | -
reign | He began to reign at the age of forty. | -
rein | She kept a tight rein on the purse strings. | -
reinforce | We need to reinforce the roof. | -
reject | Publishers often reject very good manuscripts from expert authors. | -
rejoice | I rejoice in your success. | -
relative | A close neighbor is better than a distant relative. | -
relay | I need you to relay some information for me. | -
release | The company will release the new drug next month. | -
relevant | Your question is not relevant to the subject. | -
reliable | He grew up to be a very reliable man. | -
relief | You have to raise funds for the relief work. | -
relieve | She stretched to relieve the stiffness in her back. | -
religion | There was a great conflict between religion and science. | -
religious | Keep off the religious issue when talking with him. | -
relish | He did not relish this simple family life. | -
reluctant | The mother was reluctant to leave her children alone. | -
rely | I know you can rely on him for transportation. | -
remain | I wish to exercise my right to remain silent. | -
remainder | He was excused from the remainder of the work. | -
remedy | Your only remedy is to go to the law. | -
remnant | A remnant of the old army is supporting and perhaps leading the current chaos. | -
remote | He lived in a house remote from the village. | -
renaissance | His compositions represent the last echo of Renaissance music. | -
render | Japanese food terms are difficult to render into other languages. | -
repay | Lend money only to such as will repay it. | -
repel | There are plants that repel insects. | -
repertoire | He incorporated the joke into his repertoire. | -
represent | Six percent home loans represent the industry average now. | -
repression | The seed of revolution is repression. | -
reproach | He has something to reproach you about. | -
reputation | The reputation of those musicians is not the best. | -
resemblance | The child bears a closer resemblance to his mother. | -
resent | I resent the way he treated me. | -
reservation | I ought to have made a hotel reservation earlier. | -
reserve | It is essential to reserve your seat in advance. | -
reside | The people who reside here are our friends. | -
resident | Our resident squirrel eats all our camellias. | -
residential | A factory is not suitable for a residential district. | -
resign | The president of the university is likely to resign. | -
resistant | Many are convinced that he is resistant to advice. | -
resolve | You can resolve this as a system of equations. | -
resort | Chance has thrown us together at a skiing resort. | -
respective | Let's discuss the respective merits of the candidates. | -
respond | I will not ask- or else someone will respond. | -
response | The candidate made a quick response to the criticism. | -
responsible | Smoking is responsible for many cases of lung cancer. | -
restore | They had to call the police to restore order. | -
restrain | We tried to restrain him from his reckless action. | -
restraint | She was angry, but she spoke with restraint. | -
restrict | He feels this new law will restrict his freedom. | -
resume | Tom advised the job applicant to redo her resume. | -
retain | He sacrificed his outstanding career to retain his dignity. | -
retort | He was tempted to retort, but thought better of it. | -
retrieve | The secretary went to the storage room to retrieve the file. | -
retrospect | In retrospect, that decision was a mistake. | -
reunion | Tom went to his high school reunion last week. | -
reveal | These letters reveal her to be an honest lady. | -
revelation | His extensive knowledge of music was a revelation to us. | -
revenge | The officer seemed to be afraid of their revenge. | -
revenue | The administration cannot but look for alternative sources of revenue. | -
reverse | My telephone plan does not accept reverse charge calls. | -
revive | That will help revive a fashion of the past. | -
revolutionary | The government was overthrown in a revolutionary coup. | -
revolve | The world does not revolve around you. | -
reward | You told him that he should have a reward. | -
rhythm | I like the slow rhythm of that song. | -
ridiculous | His story was too ridiculous for anyone to believe. | -
rig | Tom works on an oil rig. | -
rigorous | The top engineer put the car through a series of rigorous tests. | -
rim | I enjoy sipping on a margarita with salt around the rim. | -
rip | I can rip you apart with my bare hands. | -
ritual | The sacred ritual took place after being postponed twice. | -
rival | Two rival parties are essential to good democratic government. | -
rivalry | The quarrel originated in rivalry between the two countries. | -
robust | So far from being robust, he was extremely weak. | -
romance | There is no room for romance in my life. | -
rot | Put the meat in the refrigerator, or it will rot. | -
rotary | Do you remember that we had a phone with a rotary dial? | -
routine | My wife is getting tired of the daily routine. | -
royalty | Intel gets a huge royalty from the invention. | -
ruin | The house has been left to go to ruin. | -
rupture | Rupture stress is much higher in the case of metals as it is for plastics. | -
sacred | The sacred ceremony was held in the magnificent temple. | -
sacrifice | This job position demands a lot of personal sacrifice. | -
safeguard | The safeguard of the state shall be the supreme law. | -
sake | I stopped smoking for the sake of my health. | -
salute | The captain gave orders for a salute to be fired. | -
salvation | The salvation of the human race starts with the family. | -
sample | We would now like to have some sample flashlights. | -
sanction | That requires the sanction of the government. | -
saturate | Kaleidoscopic prints saturate my blank mind, creating vital memories and burning thoughts. | -
savage | There are still some savage tribes on that island. | -
scale | The scale seems to be off by two pounds. | -
scan | My laser printer can also scan an image. | -
scandal | His clinic has lost many patients since the scandal. | -
scar | Tom has a scar just below his left eye. | -
scatter | Scatter a little flour on the work surface. | -
scent | This wine is superior to that one in scent. | -
schedule | The train was almost an hour behind schedule today. | -
scheme | The community scheme has run up against local opposition. | -
scope | This subject is outside the scope of our inquiry. | -
score | We lost by a score of three to one. | -
scorn | His face and attitude showed the scorn he felt. | -
scramble | The scramble for Africa was the last wave of colonialism. | -
scrap | This car will soon have to go for scrap. | -
scrape | I managed to get out of the scrape. | -
scratch | You should try not to scratch your insect bites. | -
screw | To loosen a screw, turn it to the left. | -
scrub | Don't use your bare hands to scrub the floor. | -
scrutiny | Corporate political donations are coming under heavy scrutiny. | -
sculpture | This sculpture is more than two thousand years old. | -
seam | In order to fix this mistake we'll have to tear out this seam. | -
security | Hackers are adept at getting around computer security measures. | -
seemingly | The world is a place of seemingly infinite complexity. | -
segment | Divide this line segment into twenty equal parts. | -
segregate | Racist politicians want to segregate schools again. | -
semester | Some students aren't going to come back next semester. | -
senator | The senator has a very demanding schedule this week. | -
sensation | I have a prickling sensation in my left eye. | -
sensible | It was sensible of you to follow her advice. | -
sensitive | An artist has to have a color-sensitive eye. | -
sentiment | Mary is a girl full of sentiment. | -
sequence | The fibonacci sequence makes numerous appearances throughout the natural world. | -
sergeant | The sergeant ordered the private to do push ups. | -
serial | The television serial is getting more and more interesting. | -
series | He has just published an interesting series of articles. | -
setback | Our negotiations to lower export taxes suffered a big setback. | -
settle | Let us settle the matter without a third party. | -
settlement | We expect an early settlement of the affair. | -
severe | No weather was severe enough to keep him indoors. | -
shabby | The room was empty except for a shabby bed. | -
shaft | From here, you can look down the elevator shaft. | -
shark | My older brother borrowed money from a loan shark. | -
shatter | I call on the living, lament the dead, shatter the lightning. | -
shed | I cannot shed a tear for that horrible man. | -
sheer | About half of everything he says is sheer fiction. | -
shepherd | I was not made for the life of a shepherd. | -
shield | Nurture strength of spirit to shield you in sudden misfortune. | -
shipment | Please disregard this notice if your shipment has already been made. | -
shove | I think it's time for me to shove off. | -
shrewd | Tom is a very shrewd businessman. | -
shrink | Why do sheep not shrink in the rain? | -
shrub | Can you help me replant this shrub? | -
shrug | She gave a shrug of the shoulders. | -
shutter | I forgot to shutter the windows before the storm hit. | -
shuttle | My dream is to travel in a space shuttle. | -
siege | The siege of the fortress lasted a long time. | -
sieve | I have a memory like a sieve. | -
signal | Drivers have to pay attention to the traffic signal. | -
significant | But the benefits are significant at all ages. | -
signify | Oranges signify a happy love, while lemons - an unrequited one. | -
silicon | Tom works for a tech company in Silicon Valley. | -
similar | I remember hearing a very similar story to that. | -
simultaneous | He really wants to work as a simultaneous interpreter. | -
sip | She moistened her lips with a sip of water. | -
situated | The island is situated five kilometers off the coast. | -
skeleton | Tom Skeleton was shaking and trembling in every limb. | -
skeptical | Tom is probably going to be skeptical about that. | -
skip | In order to lose weight some people skip meals. | -
skull | Sami was shot to the base of the skull. | -
slack | We tend to slack off after many hours of hard work. | -
slap | His rude reply provoked her to slap his face. | -
slash | I'll slash your tires! | -
slaughter | The slaughter of the prisoners was a barbarous act. | -
slice | Tom ate three eggs and a slice of toast. | -
slick | I’ll just slick my hair back. | -
slide | Now, just let the clay slide between your fingers. | -
slight | I have a sore throat and a slight fever. | -
slip | Tom talked too much and let the secret slip. | -
slippery | The slippery snake slithered right out of his hand. | -
slogan | The slogan was designed to rouse the people. | -
slope | A snow gun covered the ski slope with snow. | -
slot | I don't like to play on the slot machines. | -
slum | This slum is growing like a weed. | -
slump | The stock market is in a prolonged slump. | -
smash | The player put an easy smash into the net. | -
smuggle | Mary tried to smuggle a hacksaw blade into the prison inside a cake. | -
snack | I had some custard pudding for an afternoon snack. | -
snatch | You have to snatch at happiness when you can. | -
